source,target
-666,-333
-333,-998
-998,-499
-499,-1496
-1496,-748
-748,-374
-374,-187
-187,-560
-560,-280
-280,-140
-140,-70
-70,-35
-35,-104
-104,-52
-52,-26
-26,-13
-13,-38
-38,-19
-19,-56
-56,-28
-28,-14
-14,-7
-7,-20
-20,-10
-10,-5
-5,-14
-665,-1994
-1994,-997
-997,-2990
-2990,-1495
-1495,-4484
-4484,-2242
-2242,-1121
-1121,-3362
-3362,-1681
-1681,-5042
-5042,-2521
-2521,-7562
-7562,-3781
-3781,-11342
-11342,-5671
-5671,-17012
-17012,-8506
-8506,-4253
-4253,-12758
-12758,-6379
-6379,-19136
-19136,-9568
-9568,-4784
-4784,-2392
-2392,-1196
-1196,-598
-598,-299
-299,-896
-896,-448
-448,-224
-224,-112
-112,-56
-56,-28
-28,-14
-14,-7
-7,-20
-20,-10
-10,-5
-5,-14
-664,-332
-332,-166
-166,-83
-83,-248
-248,-124
-124,-62
-62,-31
-31,-92
-92,-46
-46,-23
-23,-68
-68,-34
-34,-17
-17,-50
-50,-25
-25,-74
-74,-37
-37,-110
-110,-55
-55,-164
-164,-82
-82,-41
-41,-122
-122,-61
-61,-182
-182,-91
-91,-272
-272,-136
-136,-68
-663,-1988
-1988,-994
-994,-497
-497,-1490
-1490,-745
-745,-2234
-2234,-1117
-1117,-3350
-3350,-1675
-1675,-5024
-5024,-2512
-2512,-1256
-1256,-628
-628,-314
-314,-157
-157,-470
-470,-235
-235,-704
-704,-352
-352,-176
-176,-88
-88,-44
-44,-22
-22,-11
-11,-32
-32,-16
-16,-8
-8,-4
-4,-2
-2,-1
-1,-2
-662,-331
-331,-992
-992,-496
-496,-248
-248,-124
-124,-62
-62,-31
-31,-92
-92,-46
-46,-23
-23,-68
-68,-34
-34,-17
-17,-50
-50,-25
-25,-74
-74,-37
-37,-110
-110,-55
-55,-164
-164,-82
-82,-41
-41,-122
-122,-61
-61,-182
-182,-91
-91,-272
-272,-136
-136,-68
-661,-1982
-1982,-991
-991,-2972
-2972,-1486
-1486,-743
-743,-2228
-2228,-1114
-1114,-557
-557,-1670
-1670,-835
-835,-2504
-2504,-1252
-1252,-626
-626,-313
-313,-938
-938,-469
-469,-1406
-1406,-703
-703,-2108
-2108,-1054
-1054,-527
-527,-1580
-1580,-790
-790,-395
-395,-1184
-1184,-592
-592,-296
-296,-148
-148,-74
-74,-37
-37,-110
-110,-55
-55,-164
-164,-82
-82,-41
-41,-122
-122,-61
-61,-182
-182,-91
-91,-272
-272,-136
-136,-68
-68,-34
-34,-17
-17,-50
-50,-25
-25,-74
-660,-330
-330,-165
-165,-494
-494,-247
-247,-740
-740,-370
-370,-185
-185,-554
-554,-277
-277,-830
-830,-415
-415,-1244
-1244,-622
-622,-311
-311,-932
-932,-466
-466,-233
-233,-698
-698,-349
-349,-1046
-1046,-523
-523,-1568
-1568,-784
-784,-392
-392,-196
-196,-98
-98,-49
-49,-146
-146,-73
-73,-218
-218,-109
-109,-326
-326,-163
-163,-488
-488,-244
-244,-122
-122,-61
-61,-182
-182,-91
-91,-272
-272,-136
-136,-68
-68,-34
-34,-17
-17,-50
-50,-25
-25,-74
-74,-37
-37,-110
-110,-55
-55,-164
-164,-82
-82,-41
-41,-122
-659,-1976
-1976,-988
-988,-494
-494,-247
-247,-740
-740,-370
-370,-185
-185,-554
-554,-277
-277,-830
-830,-415
-415,-1244
-1244,-622
-622,-311
-311,-932
-932,-466
-466,-233
-233,-698
-698,-349
-349,-1046
-1046,-523
-523,-1568
-1568,-784
-784,-392
-392,-196
-196,-98
-98,-49
-49,-146
-146,-73
-73,-218
-218,-109
-109,-326
-326,-163
-163,-488
-488,-244
-244,-122
-122,-61
-61,-182
-182,-91
-91,-272
-272,-136
-136,-68
-68,-34
-34,-17
-17,-50
-50,-25
-25,-74
-74,-37
-37,-110
-110,-55
-55,-164
-164,-82
-82,-41
-41,-122
-658,-329
-329,-986
-986,-493
-493,-1478
-1478,-739
-739,-2216
-2216,-1108
-1108,-554
-554,-277
-277,-830
-830,-415
-415,-1244
-1244,-622
-622,-311
-311,-932
-932,-466
-466,-233
-233,-698
-698,-349
-349,-1046
-1046,-523
-523,-1568
-1568,-784
-784,-392
-392,-196
-196,-98
-98,-49
-49,-146
-146,-73
-73,-218
-218,-109
-109,-326
-326,-163
-163,-488
-488,-244
-244,-122
-122,-61
-61,-182
-182,-91
-91,-272
-272,-136
-136,-68
-68,-34
-34,-17
-17,-50
-50,-25
-25,-74
-74,-37
-37,-110
-110,-55
-55,-164
-164,-82
-82,-41
-41,-122
-657,-1970
-1970,-985
-985,-2954
-2954,-1477
-1477,-4430
-4430,-2215
-2215,-6644
-6644,-3322
-3322,-1661
-1661,-4982
-4982,-2491
-2491,-7472
-7472,-3736
-3736,-1868
-1868,-934
-934,-467
-467,-1400
-1400,-700
-700,-350
-350,-175
-175,-524
-524,-262
-262,-131
-131,-392
-392,-196
-196,-98
-98,-49
-49,-146
-146,-73
-73,-218
-218,-109
-109,-326
-326,-163
-163,-488
-488,-244
-244,-122
-122,-61
-61,-182
-182,-91
-91,-272
-272,-136
-136,-68
-68,-34
-34,-17
-17,-50
-50,-25
-25,-74
-74,-37
-37,-110
-110,-55
-55,-164
-164,-82
-82,-41
-41,-122
-656,-328
-328,-164
-164,-82
-82,-41
-41,-122
-122,-61
-61,-182
-182,-91
-91,-272
-272,-136
-136,-68
-68,-34
-34,-17
-17,-50
-50,-25
-25,-74
-74,-37
-37,-110
-110,-55
-55,-164
-655,-1964
-1964,-982
-982,-491
-491,-1472
-1472,-736
-736,-368
-368,-184
-184,-92
-92,-46
-46,-23
-23,-68
-68,-34
-34,-17
-17,-50
-50,-25
-25,-74
-74,-37
-37,-110
-110,-55
-55,-164
-164,-82
-82,-41
-41,-122
-122,-61
-61,-182
-182,-91
-91,-272
-272,-136
-136,-68
-654,-327
-327,-980
-980,-490
-490,-245
-245,-734
-734,-367
-367,-1100
-1100,-550
-550,-275
-275,-824
-824,-412
-412,-206
-206,-103
-103,-308
-308,-154
-154,-77
-77,-230
-230,-115
-115,-344
-344,-172
-172,-86
-86,-43
-43,-128
-128,-64
-64,-32
-32,-16
-16,-8
-8,-4
-4,-2
-2,-1
-1,-2
-653,-1958
-1958,-979
-979,-2936
-2936,-1468
-1468,-734
-734,-367
-367,-1100
-1100,-550
-550,-275
-275,-824
-824,-412
-412,-206
-206,-103
-103,-308
-308,-154
-154,-77
-77,-230
-230,-115
-115,-344
-344,-172
-172,-86
-86,-43
-43,-128
-128,-64
-64,-32
-32,-16
-16,-8
-8,-4
-4,-2
-2,-1
-1,-2
